Date,Open,High,Low,Close,Adj Close,Volume
2019-12-02,24.080000,24.420000,23.889999,24.350000,24.156380,78600
2019-12-03,24.650000,25.690001,24.530001,25.400000,25.198029,218900
2019-12-04,25.680000,26.889999,25.530001,26.490000,26.279362,220600
2019-12-05,26.639999,26.660000,25.889999,26.330000,26.120636,135400
2019-12-06,26.500000,26.709999,25.940001,26.059999,25.852781,227900
2019-12-09,26.150000,27.139999,26.150000,27.000000,26.785307,152800
2019-12-10,27.049999,27.530001,26.540001,27.080000,26.864670,117000
2019-12-11,27.200001,27.650000,26.980000,27.480000,27.261492,96200
2019-12-12,27.410000,27.799999,27.340000,27.620001,27.400377,81600
2019-12-13,28.070000,28.280001,27.709999,28.260000,28.035288,99400
2019-12-16,28.389999,28.500000,27.500000,27.719999,27.499580,139700
2019-12-17,27.650000,27.670000,26.910000,27.330000,27.112684,251300
2019-12-18,27.520000,27.520000,26.850000,27.200001,26.983717,84500
2019-12-19,27.230000,27.230000,26.549999,26.740000,26.527374,82600
2019-12-20,26.670000,26.790001,26.209999,26.360001,26.150398,172600
2019-12-23,26.309999,26.389999,25.900000,26.219999,26.011509,78200
2019-12-24,26.230000,26.299999,26.070000,26.290001,26.080956,34800
2019-12-26,26.309999,26.309999,25.660000,25.780001,25.575008,44100
2019-12-27,25.790001,25.850000,25.570000,25.680000,25.475805,62500
2019-12-30,25.700001,25.850000,25.270000,25.730000,25.525406,68300
2019-12-31,25.690001,25.920000,25.520000,25.600000,25.396441,59700
2020-01-02,25.620001,25.620001,25.000000,25.270000,25.069063,74300
2020-01-03,25.059999,25.510000,25.000000,25.430000,25.227791,81800
2020-01-06,25.340000,25.730000,25.160000,25.690001,25.485725,77600
2020-01-07,25.709999,26.040001,25.270000,25.320000,25.118666,94400
2020-01-08,25.200001,25.320000,25.020000,25.280001,25.078985,66000
2020-01-09,25.209999,25.480000,25.049999,25.080000,24.880575,54700
2020-01-10,25.059999,25.219999,24.700001,25.200001,24.999620,60800
2020-01-13,25.150000,25.250000,25.000000,25.170000,24.969860,39100
2020-01-14,25.120001,25.360001,24.879999,25.309999,25.108744,47300
2020-01-15,25.240000,25.629999,25.230000,25.620001,25.416283,38500
2020-01-16,25.660000,26.110001,25.650000,25.740000,25.535328,105900
2020-01-17,25.990000,25.990000,25.410000,25.690001,25.485725,84000
2020-01-21,25.500000,25.629999,25.299999,25.480000,25.277393,187300
2020-01-22,25.520000,25.700001,24.900000,25.020000,24.821053,49300
2020-01-23,24.940001,24.940001,24.129999,24.450001,24.255585,69400
2020-01-24,24.610001,24.770000,24.230000,24.490000,24.295267,62700
2020-01-27,24.209999,24.650000,24.040001,24.420000,24.225822,40900
2020-01-28,24.500000,24.600000,24.330000,24.459999,24.265505,35200
2020-01-29,24.450001,24.459999,24.219999,24.270000,24.077015,39000
2020-01-30,24.090000,24.270000,23.820000,24.150000,23.957968,103200
2020-01-31,24.090000,24.110001,23.500000,23.670000,23.481787,86400
2020-02-03,23.809999,24.059999,23.760000,23.889999,23.700037,59000
2020-02-04,24.129999,24.530001,23.889999,24.360001,24.166300,89500
2020-02-05,24.570000,24.670000,23.830000,24.370001,24.176222,115700
2020-02-06,24.549999,24.660000,24.299999,24.549999,24.354790,51500
2020-02-07,24.400000,24.430000,23.740000,23.910000,23.792564,45500
2020-02-10,23.850000,24.559999,23.850000,24.530001,24.409519,58800
2020-02-11,24.559999,24.900000,24.430000,24.730000,24.608536,77800
2020-02-12,24.770000,24.770000,24.309999,24.410000,24.290108,52000
2020-02-13,24.520000,24.760000,24.379999,24.750000,24.628437,38500
2020-02-14,24.820000,24.820000,24.450001,24.549999,24.429419,63700
2020-02-18,24.549999,24.820000,24.410000,24.420000,24.300058,44300
2020-02-19,24.459999,25.459999,24.459999,25.000000,24.877211,153300
2020-02-20,24.500000,25.000000,21.250000,22.200001,22.090963,359700
2020-02-21,21.940001,22.020000,21.330000,21.900000,21.792435,182700
2020-02-24,21.450001,21.559999,20.370001,20.530001,20.429165,137500
2020-02-25,20.500000,20.700001,20.190001,20.309999,20.210245,204500
2020-02-26,20.480000,21.230000,20.320000,21.100000,20.996367,186800
2020-02-27,21.090000,21.500000,20.639999,20.830000,20.727692,202700
2020-02-28,20.500000,21.190001,20.500000,21.150000,21.046120,192700
2020-03-02,21.250000,21.379999,20.080000,20.299999,20.200294,167300
2020-03-03,20.230000,20.400000,19.330000,19.549999,19.453978,200300
2020-03-04,19.700001,20.370001,19.450001,20.299999,20.200294,182300
2020-03-05,20.350000,21.120001,20.240000,20.900000,20.797348,161200
2020-03-06,20.490000,20.940001,20.170000,20.600000,20.498821,153900
2020-03-09,20.030001,20.320000,19.100000,19.299999,19.205206,176200
2020-03-10,19.620001,19.940001,18.230000,18.830000,18.737514,337100
2020-03-11,18.430000,18.500000,16.920000,17.330000,17.244883,143100
2020-03-12,16.400000,17.549999,15.670000,15.710000,15.632839,200300
2020-03-13,16.209999,17.100000,15.610000,16.780001,16.697584,278300
2020-03-16,15.470000,16.000000,14.010000,14.070000,14.000894,195700
2020-03-17,14.350000,16.100000,14.080000,15.630000,15.553232,189000
2020-03-18,15.130000,16.670000,14.920000,16.170000,16.090580,340300
2020-03-19,16.620001,18.150000,14.910000,15.170000,15.095491,247400
2020-03-20,15.340000,16.740000,15.340000,15.460000,15.384067,272800
2020-03-23,15.930000,16.680000,14.050000,14.100000,14.030746,269200
2020-03-24,14.600000,15.130000,13.930000,14.990000,14.916375,150100
2020-03-25,15.050000,15.670000,14.580000,14.740000,14.667603,181300
2020-03-26,14.810000,15.390000,14.020000,14.240000,14.170058,247400
2020-03-27,14.040000,15.750000,13.600000,15.510000,15.433822,260400
2020-03-30,16.260000,17.930000,15.960000,17.090000,17.006062,380200
2020-03-31,17.820000,17.850000,16.020000,16.150000,16.070677,237000
2020-04-01,15.950000,16.379999,15.360000,15.720000,15.642790,189400
2020-04-02,15.400000,15.870000,14.620000,14.900000,14.826817,170800
2020-04-03,14.990000,15.110000,13.920000,13.960000,13.891434,146600
2020-04-06,14.220000,14.810000,13.710000,14.230000,14.160108,413100
2020-04-07,14.510000,15.160000,14.410000,14.730000,14.657652,383400
2020-04-08,14.880000,15.470000,14.610000,15.080000,15.005933,225000
2020-04-09,15.330000,15.880000,15.260000,15.720000,15.642790,164900
2020-04-13,15.660000,15.780000,15.010000,15.190000,15.115393,135400
2020-04-14,15.700000,15.890000,15.000000,15.400000,15.324361,231100
2020-04-15,15.070000,15.410000,14.230000,14.490000,14.418831,188300
2020-04-16,14.560000,14.590000,13.540000,13.800000,13.732220,203200
2020-04-17,14.070000,15.120000,14.050000,14.960000,14.886522,227200
2020-04-20,14.670000,15.410000,14.430000,15.210000,15.135295,160800
2020-04-21,14.710000,15.100000,14.340000,14.850000,14.777063,188400
2020-04-22,15.080000,15.080000,14.620000,14.830000,14.757161,113600
2020-04-23,14.970000,15.220000,14.750000,14.990000,14.916375,93700
2020-04-24,15.140000,15.160000,14.680000,14.750000,14.677554,87400
2020-04-27,14.750000,15.410000,14.750000,15.110000,15.035786,364800
2020-04-28,15.500000,15.950000,15.300000,15.910000,15.831857,145300
2020-04-29,16.190001,17.350000,16.150000,17.280001,17.195127,279600
2020-04-30,16.780001,16.830000,14.550000,15.020000,14.946228,653000
2020-05-01,14.700000,15.070000,14.600000,14.810000,14.737260,153600
2020-05-04,14.600000,15.040000,14.240000,14.770000,14.697456,187000
2020-05-05,15.100000,15.440000,14.660000,14.770000,14.697456,190800
2020-05-06,15.000000,15.320000,14.880000,15.010000,14.936277,201600
2020-05-07,15.280000,15.390000,14.930000,15.270000,15.195001,179100
2020-05-08,15.600000,15.980000,15.300000,15.860000,15.860000,128000
2020-05-11,15.980000,16.020000,15.470000,15.840000,15.840000,170900
2020-05-12,15.830000,15.880000,15.480000,15.500000,15.500000,165900
2020-05-13,15.360000,15.500000,14.260000,14.470000,14.470000,491200
2020-05-14,14.110000,14.320000,13.840000,14.270000,14.270000,194100
2020-05-15,14.240000,14.450000,14.110000,14.380000,14.380000,107100
2020-05-18,14.950000,15.520000,14.780000,15.320000,15.320000,138400
2020-05-19,15.400000,16.389999,15.270000,15.790000,15.790000,286800
2020-05-20,17.360001,19.980000,17.299999,19.270000,19.270000,646800
2020-05-21,19.200001,19.219999,18.330000,18.600000,18.600000,267000
2020-05-22,18.730000,18.969999,18.230000,18.490000,18.490000,155600
2020-05-26,19.070000,19.290001,18.430000,18.459999,18.459999,148500
2020-05-27,18.490000,19.160000,17.959999,18.940001,18.940001,121100
